Label,Train,Val,Test,Total
Advocacy & Warning,369,129,113,611
Community Building & Solidarity Seeking,385,136,122,643
Emotional & Esteem Support-Seeking,459,146,162,767
Informational Help-Seeking,488,148,160,796
Instrumental Help-Seeking,302,115,98,515
Sense-Making & Narrative Construction,469,155,165,789
Venting / Catharsis,561,183,208,952
